中華臺湾,#genre#
寰宇新闻台湾台,http://220.134.74.149:7878/udp/230.1.2.147:11111
镜电视新闻台,http://220.134.74.149:7878/udp/224.1.4.126:11111
镜电视新闻台,http://220.134.74.149:7878/udp/230.1.2.138:11111
amc電影台,http://220.134.74.149:7878/udp/224.1.4.43:11111
amc電影台,http://220.134.74.149:7878/udp/230.1.2.157:11111
Animax,http://220.134.74.149:7878/udp/224.1.4.237:11111
Animax,http://220.134.74.149:7878/udp/230.1.2.77:11111
Arirang TV,http://220.134.74.149:7878/udp/224.1.4.184:11111
Arirang TV,http://220.134.74.149:7878/udp/224.1.4.92:11111
ROCK ACTION,http://220.134.74.149:7878/udp/230.1.2.181:11111
BBC Earth,http://220.134.74.149:7878/udp/230.1.2.172:11111
BBC Earth,http://220.134.74.149:7878/udp/230.1.2.9:11111
BBC Lifestyle Channel,http://220.134.74.149:7878/udp/230.1.2.10:11111
BBC Lifestyle Channel,http://220.134.74.149:7878/udp/230.1.2.173:11111
BBC World News,http://220.134.74.149:7878/udp/224.1.4.52:11111
BBC World News,http://220.134.74.149:7878/udp/230.1.2.250:11111
